series,average_rating,number_of_pages,awards,year_published,subgenre,compound_score,coleman_liau_index,rating_count_stand
False,4.1,56,0,1882,7,-0.5632,10.81,-0.7076925297000516
False,4.3,136,1,1940,6,0.98,7.13,-0.7009554637017587
False,3.85,215,0,1915,0,-0.4019,9.04,0.06890690008143227
False,4.1,488,0,1897,8,0.5574,10.91,0.2854863355921873
False,3.99,268,1,1932,0,0.7717,14.49,0.7703669773510652
False,4.11,417,2,1967,1,0.886,10.42,0.05953884595923248
True,4.33,371,8,2003,15,-0.0297,8.42,1.8066724279794384
False,4.41,384,12,2011,6,-0.9803,7.38,0.16876358165511848
False,3.56,317,5,2015,1,-0.9022,2.79,-0.6379215505616982
False,3.88,107,1,1937,7,0.9862,6.96,1.3295783534665977
True,4.13,178,0,2000,8,-0.5423,7.34,-0.6976086357162518
False,4.19,328,2,1949,6,0.7958,6.97,2.88008579133827
False,3.99,238,2,2005,1,-0.8418,6.92,-0.6734530834780263
False,4.2,176,0,1938,15,-0.296,9.31,-0.7080312981482285
False,4.34,157,0,1937,7,-0.128,8.14,-0.7002123861759836
True,4.13,884,1,1982,1,0.3182,8.18,-0.547567409077076
False,4.18,336,5,2003,15,0.9705,9.02,-0.6274903763596668
False,4.05,232,0,1926,0,0.5574,9.3,-0.7026969718549497
False,3.47,624,2,2002,4,-0.8225,7.16,-0.6657695086496512
